##数据格式为:
##数据位置
##震相,相对时间（秒）,置信度,绝对时间（格式%Y-%m-%d %H:%M:%S.%f）,信噪比,前后200个采样点振幅均值,台站,初动,初动概率
#/Users/yuziye/Documents/GitHub/sage/pnsn/data/0521-0522foryangbi/YN.YSW03.00
Pg,32640.180,0.937,2021-05-21 09:04:00.185000,23.796,892.728799,YN.YSW03.00,N,0.000
Pg,111393.880,0.893,2021-05-22 06:56:33.885000,4.402,150.283490,YN.YSW03.00,N,0.000
Pg,47329.080,0.875,2021-05-21 13:08:49.085000,29.642,828.638234,YN.YSW03.00,N,0.000
Pg,160428.100,0.870,2021-05-22 20:33:48.105000,17.090,480.265789,YN.YSW03.00,N,0.000
Pg,154200.510,0.867,2021-05-22 18:50:00.515000,5.042,78.173485,YN.YSW03.00,N,0.000
Pg,111943.800,0.863,2021-05-22 07:05:43.805000,9.531,391.906544,YN.YSW03.00,N,0.000
Pg,158313.480,0.862,2021-05-22 19:58:33.485000,7.446,105.613088,YN.YSW03.00,N,0.000
Pg,66281.690,0.857,2021-05-21 18:24:41.695000,629.073,40668.300298,YN.YSW03.00,N,0.000
Pg,135072.700,0.855,2021-05-22 13:31:12.705000,13.311,535.282801,YN.YSW03.00,N,0.000
Pg,142233.100,0.852,2021-05-22 15:30:33.105000,447.162,11443.606827,YN.YSW03.00,N,0.000
Pg,95736.940,0.852,2021-05-22 02:35:36.945000,3.822,195.237510,YN.YSW03.00,N,0.000
Pg,97540.220,0.851,2021-05-22 03:05:40.225000,87.769,2635.816923,YN.YSW03.00,N,0.000
Pg,89016.710,0.845,2021-05-22 00:43:36.715000,6.773,402.595251,YN.YSW03.00,N,0.000
Pg,152644.110,0.844,2021-05-22 18:24:04.115000,3.460,71.927191,YN.YSW03.00,N,0.000
Pg,154390.340,0.843,2021-05-22 18:53:10.345000,28.302,680.376432,YN.YSW03.00,N,0.000
Pg,167841.620,0.841,2021-05-22 22:37:21.625000,2.373,73.469613,YN.YSW03.00,N,0.000
Pg,142638.540,0.838,2021-05-22 15:37:18.545000,15.063,465.544261,YN.YSW03.00,N,0.000
Pg,61343.980,0.835,2021-05-21 17:02:23.985000,11.675,907.170490,YN.YSW03.00,N,0.000
Pg,96005.070,0.834,2021-05-22 02:40:05.075000,10.207,408.850315,YN.YSW03.00,N,0.000
Pg,107706.540,0.830,2021-05-22 05:55:06.545000,8.402,324.252464,YN.YSW03.00,N,0.000
Pg,96422.460,0.829,2021-05-22 02:47:02.465000,3.976,173.501065,YN.YSW03.00,N,0.000
Pg,138621.480,0.827,2021-05-22 14:30:21.485000,117.836,5046.007540,YN.YSW03.00,N,0.000
